time/s	mode	Capacity/mA.h	(Q-Qo)/mA.h	Ewe/V	cycle number	
1.150000170948551E+003	1	1.201370621725215E+000	-1.201370621725215E+000	2.4280393E+000	0.000000000000000E+000
1.180000170190688E+003	1	1.232985799901168E+000	-1.232985799901168E+000	2.4286311E+000	0.000000000000000E+000
1.210000169432824E+003	1	1.264601035500752E+000	-1.264601035500752E+000	2.4292994E+000	0.000000000000000E+000
1.240000168674960E+003	1	1.296216294815130E+000	-1.296216294815130E+000	2.4296432E+000	0.000000000000000E+000
1.270000167917096E+003	1	1.327831413539396E+000	-1.327831413539396E+000	2.4302921E+000	0.000000000000000E+000
1.300000167159233E+003	1	1.359446554928965E+000	-1.359446554928965E+000	2.4309223E+000	0.000000000000000E+000
1.330000166401369E+003	1	1.391061718245930E+000	-1.391061718245930E+000	2.4313614E+000	0.000000000000000E+000
1.360000165643505E+003	1	1.422676798012972E+000	-1.422676798012972E+000	2.4317241E+000	0.000000000000000E+000
1.390000164885641E+003	1	1.454291909561290E+000	-1.454291909561290E+000	2.4322779E+000	0.000000000000000E+000
1.420000164127778E+003	1	1.485906962439762E+000	-1.485906962439762E+000	2.4324687E+000	0.000000000000000E+000
1.450000163369914E+003	1	1.517522072835869E+000	-1.517522072835869E+000	2.4328506E+000	0.000000000000000E+000
1.480000162612050E+003	1	1.549137124377105E+000	-1.549137124377105E+000	2.4329269E+000	0.000000000000000E+000
1.510000161854186E+003	1	1.580752101016641E+000	-1.580752101016641E+000	2.4333279E+000	0.000000000000000E+000
1.540000161096323E+003	1	1.612367085095167E+000	-1.612367085095167E+000	2.4339771E+000	0.000000000000000E+000
1.570000160338459E+003	1	1.643981991297377E+000	-1.643981991297377E+000	2.4341106E+000	0.000000000000000E+000
1.600000159580595E+003	1	1.675596824183173E+000	-1.675596824183173E+000	2.4342825E+000	0.000000000000000E+000
1.630000158822731E+003	1	1.707211756129199E+000	-1.707211756129199E+000	2.4344735E+000	0.000000000000000E+000
1.660000158064868E+003	1	1.738826675255246E+000	-1.738826675255246E+000	2.4348361E+000	0.000000000000000E+000
1.690000157307004E+003	1	1.770441565875014E+000	-1.770441565875014E+000	2.4352562E+000	0.000000000000000E+000
1.720000156549140E+003	1	1.802056314533538E+000	-1.802056314533538E+000	2.4356573E+000	0.000000000000000E+000
1.750000155791276E+003	1	1.833671096759505E+000	-1.833671096759505E+000	2.4359436E+000	0.000000000000000E+000
1.780000155033413E+003	1	1.865285925544699E+000	-1.865285925544699E+000	2.4362299E+000	0.000000000000000E+000
1.810000154275549E+003	1	1.896900826685614E+000	-1.896900826685614E+000	2.4366691E+000	0.000000000000000E+000
1.840000153517685E+003	1	1.928515755655991E+000	-1.928515755655991E+000	2.4368219E+000	0.000000000000000E+000
1.870000152759822E+003	1	1.960130636539141E+000	-1.960130636539141E+000	2.4373755E+000	0.000000000000000E+000
1.900000152001958E+003	1	1.991745546092815E+000	-1.991745546092815E+000	2.4377193E+000	0.000000000000000E+000
1.930000151244094E+003	1	2.023360495651589E+000	-2.023360495651589E+000	2.4381011E+000	0.000000000000000E+000
1.960000150486230E+003	1	2.054975409105380E+000	-2.054975409105380E+000	2.4382730E+000	0.000000000000000E+000
1.990000149728367E+003	1	2.086590317818403E+000	-2.086590317818403E+000	2.4384258E+000	0.000000000000000E+000
2.020000148970503E+003	1	2.118205330613706E+000	-2.118205330613706E+000	2.4388266E+000	0.000000000000000E+000
2.050000148212639E+003	1	2.149820332627720E+000	-2.149820332627720E+000	2.4391322E+000	0.000000000000000E+000
